test_id,asset_id,control_id,rule_id,requirement_id,expected_status,actual_status,expected_governance_status,actual_governance_status,passed,purpose,details
TC-RULE-ID-AM-04-NO-EVIDENCE,asset-tc-rule-id-am-04-no-evidence,CTRL-ID-AM-04,RULE-ID-AM-04,REQ-ID-AM-04,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.provider_services_inventory_complete=True:pass | Missing evidence.provider_service_inventory
TC-RULE-ID-RA-01-COMPLIANT,asset-tc-rule-id-ra-01-compliant,CTRL-ID-RA-01,RULE-ID-RA-01,REQ-ID-RA-01,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.vulnerability_advisories_monitored=True:pass
TC-RULE-ID-RA-01-VIOLATION,asset-tc-rule-id-ra-01-violation,CTRL-ID-RA-01,RULE-ID-RA-01,REQ-ID-RA-01,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.vulnerability_advisories_monitored=False:fail
TC-RULE-ID-RA-01-NO-EVIDENCE,asset-tc-rule-id-ra-01-no-evidence,CTRL-ID-RA-01,RULE-ID-RA-01,REQ-ID-RA-01,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.vulnerability_advisories_monitored=True:pass | Missing evidence.vulnerability_management
TC-RULE-ID-RA-01-E-COMPLIANT,asset-tc-rule-id-ra-01-e-compliant,CTRL-ID-RA-01-E,RULE-ID-RA-01-E,REQ-ID-RA-01-E,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.extended_vulnerability_assessment_performed=True:pass
TC-RULE-ID-RA-01-E-VIOLATION,asset-tc-rule-id-ra-01-e-violation,CTRL-ID-RA-01-E,RULE-ID-RA-01-E,REQ-ID-RA-01-E,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.extended_vulnerability_assessment_performed=False:fail
TC-RULE-ID-RA-01-E-NO-EVIDENCE,asset-tc-rule-id-ra-01-e-no-evidence,CTRL-ID-RA-01-E,RULE-ID-RA-01-E,REQ-ID-RA-01-E,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.extended_vulnerability_assessment_performed=True:pass | Missing evidence.vulnerability_scan
TC-RULE-ID-RA-01-E-PROFILE-NA,asset-tc-rule-id-ra-01-e-profile-na,CTRL-ID-RA-01-E,RULE-ID-RA-01-E,REQ-ID-RA-01-E,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,True,The organization wrapper uses the important profile for an essential-only rule.,regola esclusa dal profilo ACN important
TC-RULE-ID-RA-08-COMPLIANT,asset-tc-rule-id-ra-08-compliant,CTRL-ID-RA-08,RULE-ID-RA-08,REQ-ID-RA-08,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.vulnerability_advisories_monitored=True:pass | Vulnerability.vuln-web.remediation_status='remediated':pass
TC-RULE-ID-RA-08-VIOLATION,asset-tc-rule-id-ra-08-violation,CTRL-ID-RA-08,RULE-ID-RA-08,REQ-ID-RA-08,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.vulnerability_advisories_monitored=True:pass | Vulnerability.vuln-web.remediation_status='in_progress':fail
TC-RULE-ID-RA-08-NO-EVIDENCE,asset-tc-rule-id-ra-08-no-evidence,CTRL-ID-RA-08,RULE-ID-RA-08,REQ-ID-RA-08,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.vulnerability_advisories_monitored=True:pass | Vulnerability.vuln-web.remediation_status='remediated':pass | Missing evidence.vulnerability_management | Missing evidence.vulnerability_treatment
TC-RULE-ID-RA-08-MANUAL-ACCEPTED-RISK,asset-tc-rule-id-ra-08-manual-accepted-risk,CTRL-ID-RA-08,RULE-ID-RA-08,REQ-ID-RA-08,COMPLIANT,COMPLIANT,MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,True,A vulnerability has an explicitly accepted exception and requires human review.,asset.vulnerability_advisories_monitored=True:pass | Vulnerability.vuln-web.remediation_status='remediated':pass
TC-RULE-ID-RA-08-E-COMPLIANT,asset-tc-rule-id-ra-08-e-compliant,CTRL-ID-RA-08-E,RULE-ID-RA-08-E,REQ-ID-RA-08-E,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.critical_software_supplier_channels_monitored=True:pass
TC-RULE-ID-RA-08-E-VIOLATION,asset-tc-rule-id-ra-08-e-violation,CTRL-ID-RA-08-E,RULE-ID-RA-08-E,REQ-ID-RA-08-E,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.critical_software_supplier_channels_monitored=False:fail
TC-RULE-ID-RA-08-E-NO-EVIDENCE,asset-tc-rule-id-ra-08-e-no-evidence,CTRL-ID-RA-08-E,RULE-ID-RA-08-E,REQ-ID-RA-08-E,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.critical_software_supplier_channels_monitored=True:pass | Missing evidence.vulnerability_management
TC-RULE-ID-RA-08-E-PROFILE-NA,asset-tc-rule-id-ra-08-e-profile-na,CTRL-ID-RA-08-E,RULE-ID-RA-08-E,REQ-ID-RA-08-E,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,True,The organization wrapper uses the important profile for an essential-only rule.,regola esclusa dal profilo ACN important
TC-RULE-PR-AA-01-COMPLIANT,asset-tc-rule-pr-aa-01-compliant,CTRL-PR-AA-01,RULE-PR-AA-01,REQ-PR-AA-01,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,Account.account-admin.account_type='administrator':pass | Account.account-admin.individual=True:pass | Account.account-admin.authorized=True:pass | Account.account-admin.credentials_managed=True:pass | Account.account-admin.last_reviewed_at='2026-08-01T00:00:00Z':pass
TC-RULE-PR-AA-01-VIOLATION,asset-tc-rule-pr-aa-01-violation,CTRL-PR-AA-01,RULE-PR-AA-01,REQ-PR-AA-01,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,Account.account-admin.account_type='':fail | Account.account-admin.individual=False:fail | Account.account-admin.authorized=False:fail | Account.account-admin.credentials_managed=False:fail | Account.account-admin.last_reviewed_at=None:fail
TC-RULE-PR-AA-01-NO-EVIDENCE,asset-tc-rule-pr-aa-01-no-evidence,CTRL-PR-AA-01,RULE-PR-AA-01,REQ-PR-AA-01,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,Account.account-admin.account_type='administrator':pass | Account.account-admin.individual=True:pass | Account.account-admin.authorized=True:pass | Account.account-admin.credentials_managed=True:pass | Account.account-admin.last_reviewed_at='2026-08-01T00:00:00Z':pass | Missing evidence.access_review
TC-RULE-PR-AA-03-COMPLIANT,asset-tc-rule-pr-aa-03-compliant,CTRL-PR-AA-03,RULE-PR-AA-03,REQ-PR-AA-03,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,Account.account-admin.mfa_enabled=True:pass
TC-RULE-PR-AA-03-VIOLATION,asset-tc-rule-pr-aa-03-violation,CTRL-PR-AA-03,RULE-PR-AA-03,REQ-PR-AA-03,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,Account.account-admin.mfa_enabled=False:fail
TC-RULE-PR-AA-03-NO-EVIDENCE,asset-tc-rule-pr-aa-03-no-evidence,CTRL-PR-AA-03,RULE-PR-AA-03,REQ-PR-AA-03,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,Account.account-admin.mfa_enabled=True:pass | Missing evidence.access_configuration
TC-RULE-PR-AA-05-COMPLIANT,asset-tc-rule-pr-aa-05-compliant,CTRL-PR-AA-05,RULE-PR-AA-05,REQ-PR-AA-05,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,Account.account-admin.least_privilege=True:pass | Account.account-admin.separate_admin_account=True:pass
TC-RULE-PR-AA-05-VIOLATION,asset-tc-rule-pr-aa-05-violation,CTRL-PR-AA-05,RULE-PR-AA-05,REQ-PR-AA-05,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,Account.account-admin.least_privilege=False:fail | Account.account-admin.separate_admin_account=False:fail
TC-RULE-PR-AA-05-NO-EVIDENCE,asset-tc-rule-pr-aa-05-no-evidence,CTRL-PR-AA-05,RULE-PR-AA-05,REQ-PR-AA-05,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,Account.account-admin.least_privilege=True:pass | Account.account-admin.separate_admin_account=True:pass | Missing evidence.access_configuration
TC-RULE-PR-AA-05-PARTIAL,asset-tc-rule-pr-aa-05-partial,CTRL-PR-AA-05,RULE-PR-AA-05,REQ-PR-AA-05,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Only one of several technical conditions is violated while the others remain satisfied.,Account.account-admin.least_privilege=False:fail | Account.account-admin.separate_admin_account=True:pass
TC-RULE-PR-AA-06-COMPLIANT,asset-tc-rule-pr-aa-06-compliant,CTRL-PR-AA-06,RULE-PR-AA-06,REQ-PR-AA-06,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.physical_protection_documented=True:pass
TC-RULE-PR-AA-06-VIOLATION,asset-tc-rule-pr-aa-06-violation,CTRL-PR-AA-06,RULE-PR-AA-06,REQ-PR-AA-06,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.physical_protection_documented=False:fail
TC-RULE-PR-AA-06-NO-EVIDENCE,asset-tc-rule-pr-aa-06-no-evidence,CTRL-PR-AA-06,RULE-PR-AA-06,REQ-PR-AA-06,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.physical_protection_documented=True:pass | Missing evidence.physical_security
TC-RULE-PR-DS-01-COMPLIANT,asset-tc-rule-pr-ds-01-compliant,CTRL-PR-DS-01,RULE-PR-DS-01,REQ-PR-DS-01,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,DataObject.data-core.removable_media_encrypted=True:pass
TC-RULE-PR-DS-01-VIOLATION,asset-tc-rule-pr-ds-01-violation,CTRL-PR-DS-01,RULE-PR-DS-01,REQ-PR-DS-01,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,DataObject.data-core.removable_media_encrypted=False:fail
TC-RULE-PR-DS-01-NO-EVIDENCE,asset-tc-rule-pr-ds-01-no-evidence,CTRL-PR-DS-01,RULE-PR-DS-01,REQ-PR-DS-01,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,DataObject.data-core.removable_media_encrypted=True:pass | Missing evidence.encryption_configuration
TC-RULE-PR-DS-02-COMPLIANT,asset-tc-rule-pr-ds-02-compliant,CTRL-PR-DS-02,RULE-PR-DS-02,REQ-PR-DS-02,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,Service.svc-https.encrypted=True:pass | Service.svc-https.tls_enabled=True:pass | Service.svc-https.tls_versions=['TLSv1.3']:pass
TC-RULE-PR-DS-02-VIOLATION,asset-tc-rule-pr-ds-02-violation,CTRL-PR-DS-02,RULE-PR-DS-02,REQ-PR-DS-02,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,Service.svc-https.encrypted=False:fail | Service.svc-https.tls_enabled=True:pass | Service.svc-https.tls_versions=['TLSv1.0']:fail
TC-RULE-PR-DS-02-NO-EVIDENCE,asset-tc-rule-pr-ds-02-no-evidence,CTRL-PR-DS-02,RULE-PR-DS-02,REQ-PR-DS-02,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,Service.svc-https.encrypted=True:pass | Service.svc-https.tls_enabled=True:pass | Service.svc-https.tls_versions=['TLSv1.3']:pass | Missing evidence.encryption_configuration
TC-RULE-PR-DS-11-COMPLIANT,asset-tc-rule-pr-ds-11-compliant,CTRL-PR-DS-11,RULE-PR-DS-11,REQ-PR-DS-11,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,BackupRecord.backup-web.frequency_within_plan=True:pass | BackupRecord.backup-web.offline_copy=True:pass
TC-RULE-PR-DS-11-VIOLATION,asset-tc-rule-pr-ds-11-violation,CTRL-PR-DS-11,RULE-PR-DS-11,REQ-PR-DS-11,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,BackupRecord.backup-web.frequency_within_plan=False:fail | BackupRecord.backup-web.offline_copy=False:fail
TC-RULE-PR-DS-11-NO-EVIDENCE,asset-tc-rule-pr-ds-11-no-evidence,CTRL-PR-DS-11,RULE-PR-DS-11,REQ-PR-DS-11,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,BackupRecord.backup-web.frequency_within_plan=True:pass | BackupRecord.backup-web.offline_copy=True:pass | Missing evidence.backup_record
TC-RULE-PR-DS-11-PARTIAL,asset-tc-rule-pr-ds-11-partial,CTRL-PR-DS-11,RULE-PR-DS-11,REQ-PR-DS-11,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Only one of several technical conditions is violated while the others remain satisfied.,BackupRecord.backup-web.frequency_within_plan=True:pass | BackupRecord.backup-web.offline_copy=False:fail
TC-RULE-PR-DS-11-E-COMPLIANT,asset-tc-rule-pr-ds-11-e-compliant,CTRL-PR-DS-11-E,RULE-PR-DS-11-E,REQ-PR-DS-11-E,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,BackupRecord.backup-web.protected_copy=True:pass | BackupRecord.backup-web.restore_test_successful=True:pass
TC-RULE-PR-DS-11-E-VIOLATION,asset-tc-rule-pr-ds-11-e-violation,CTRL-PR-DS-11-E,RULE-PR-DS-11-E,REQ-PR-DS-11-E,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,BackupRecord.backup-web.protected_copy=False:fail | BackupRecord.backup-web.restore_test_successful=False:fail
TC-RULE-PR-DS-11-E-NO-EVIDENCE,asset-tc-rule-pr-ds-11-e-no-evidence,CTRL-PR-DS-11-E,RULE-PR-DS-11-E,REQ-PR-DS-11-E,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,BackupRecord.backup-web.protected_copy=True:pass | BackupRecord.backup-web.restore_test_successful=True:pass | Missing evidence.backup_record | Missing evidence.restore_test
TC-RULE-PR-DS-11-E-PROFILE-NA,asset-tc-rule-pr-ds-11-e-profile-na,CTRL-PR-DS-11-E,RULE-PR-DS-11-E,REQ-PR-DS-11-E,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,True,The organization wrapper uses the important profile for an essential-only rule.,regola esclusa dal profilo ACN important
TC-RULE-PR-PS-01-E-COMPLIANT,asset-tc-rule-pr-ps-01-e-compliant,CTRL-PR-PS-01-E,RULE-PR-PS-01-E,REQ-PR-PS-01-E,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.hardening_baseline_applied=True:pass
TC-RULE-PR-PS-01-E-VIOLATION,asset-tc-rule-pr-ps-01-e-violation,CTRL-PR-PS-01-E,RULE-PR-PS-01-E,REQ-PR-PS-01-E,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.hardening_baseline_applied=False:fail
TC-RULE-PR-PS-01-E-NO-EVIDENCE,asset-tc-rule-pr-ps-01-e-no-evidence,CTRL-PR-PS-01-E,RULE-PR-PS-01-E,REQ-PR-PS-01-E,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.hardening_baseline_applied=True:pass | Missing evidence.system_configuration
TC-RULE-PR-PS-01-E-PROFILE-NA,asset-tc-rule-pr-ps-01-e-profile-na,CTRL-PR-PS-01-E,RULE-PR-PS-01-E,REQ-PR-PS-01-E,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,True,The organization wrapper uses the important profile for an essential-only rule.,regola esclusa dal profilo ACN important
TC-RULE-PR-PS-01-E-MANUAL-EXCEPTION,asset-tc-rule-pr-ps-01-e-manual-exception,CTRL-PR-PS-01-E,RULE-PR-PS-01-E,REQ-PR-PS-01-E,COMPLIANT,COMPLIANT,MANUAL_REVIEW_REQUIRED,MANUAL_REVIEW_REQUIRED,True,An active technical exception is attached and requires human review.,asset.hardening_baseline_applied=True:pass | Active technical exception: exception-tc-rule-pr-ps-01-e-manual-exception
TC-RULE-PR-PS-02-COMPLIANT,asset-tc-rule-pr-ps-02-compliant,CTRL-PR-PS-02,RULE-PR-PS-02,REQ-PR-PS-02,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,SoftwareComponent.software-web.support_status='supported':pass | SoftwareComponent.software-web.security_update_status='within_risk_plan':pass
TC-RULE-PR-PS-02-VIOLATION,asset-tc-rule-pr-ps-02-violation,CTRL-PR-PS-02,RULE-PR-PS-02,REQ-PR-PS-02,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,SoftwareComponent.software-web.support_status='unsupported':fail | SoftwareComponent.software-web.security_update_status='overdue_against_risk_plan':fail
TC-RULE-PR-PS-02-NO-EVIDENCE,asset-tc-rule-pr-ps-02-no-evidence,CTRL-PR-PS-02,RULE-PR-PS-02,REQ-PR-PS-02,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,SoftwareComponent.software-web.support_status='supported':pass | SoftwareComponent.software-web.security_update_status='within_risk_plan':pass | Missing evidence.patch_record | Missing evidence.software_inventory
TC-RULE-PR-PS-02-E-COMPLIANT,asset-tc-rule-pr-ps-02-e-compliant,CTRL-PR-PS-02-E,RULE-PR-PS-02-E,REQ-PR-PS-02-E,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,SoftwareComponent.software-web.support_status='supported':pass | SoftwareComponent.software-web.security_update_status='within_risk_plan':pass | SoftwareComponent.software-web.critical_update_tested=True:pass
TC-RULE-PR-PS-02-E-VIOLATION,asset-tc-rule-pr-ps-02-e-violation,CTRL-PR-PS-02-E,RULE-PR-PS-02-E,REQ-PR-PS-02-E,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,SoftwareComponent.software-web.support_status='unsupported':fail | SoftwareComponent.software-web.security_update_status='overdue_against_risk_plan':fail | SoftwareComponent.software-web.critical_update_tested=False:fail
TC-RULE-PR-PS-02-E-NO-EVIDENCE,asset-tc-rule-pr-ps-02-e-no-evidence,CTRL-PR-PS-02-E,RULE-PR-PS-02-E,REQ-PR-PS-02-E,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,SoftwareComponent.software-web.support_status='supported':pass | SoftwareComponent.software-web.security_update_status='within_risk_plan':pass | SoftwareComponent.software-web.critical_update_tested=True:pass | Missing evidence.patch_record
TC-RULE-PR-PS-02-E-PROFILE-NA,asset-tc-rule-pr-ps-02-e-profile-na,CTRL-PR-PS-02-E,RULE-PR-PS-02-E,REQ-PR-PS-02-E,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,True,The organization wrapper uses the important profile for an essential-only rule.,regola esclusa dal profilo ACN important
TC-RULE-PR-PS-03-E-COMPLIANT,asset-tc-rule-pr-ps-03-e-compliant,CTRL-PR-PS-03-E,RULE-PR-PS-03-E,REQ-PR-PS-03-E,COMPLIANT,COMPLIANT,NONE,NONE,True,Positive path: all observable rule conditions and required evidence are satisfied.,asset.maintenance_logged=True:pass | asset.secure_disposal_documented=True:pass
TC-RULE-PR-PS-03-E-VIOLATION,asset-tc-rule-pr-ps-03-e-violation,CTRL-PR-PS-03-E,RULE-PR-PS-03-E,REQ-PR-PS-03-E,NON_COMPLIANT,NON_COMPLIANT,NONE,NONE,True,Known values deliberately violate the technical conditions exercised by this rule.,asset.maintenance_logged=False:fail | asset.secure_disposal_documented=False:fail
TC-RULE-PR-PS-03-E-NO-EVIDENCE,asset-tc-rule-pr-ps-03-e-no-evidence,CTRL-PR-PS-03-E,RULE-PR-PS-03-E,REQ-PR-PS-03-E,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,True,A required evidence item is detached; the rule cannot be verified conclusively.,asset.maintenance_logged=True:pass | asset.secure_disposal_documented=True:pass | Missing evidence.maintenance_record
TC-RULE-PR-PS-03-E-PROFILE-NA,asset-tc-rule-pr-ps-03-e-profile-na,CTRL-PR-PS-03-E,RULE-PR-PS-03-E,REQ-PR-PS-03-E,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NONE,True,The organization wrapper uses the important profile for an essential-only rule.,regola esclusa dal profilo ACN important
